Broad Habitat,Habitat,Lower Distinctiveness Habitat - N/A - Other,Lower Distinctiveness Habitat - Condition Assessment N/A,Lower Distinctiveness Habitat - Poor,Lower Distinctiveness Habitat - Fairly Poor,Lower Distinctiveness Habitat - Moderate,Lower Distinctiveness Habitat - Fairly Good,Lower Distinctiveness Habitat - Good,Condition Assessment N/A - Fairly Poor,Condition Assessment N/A - Moderate,Condition Assessment N/A - Fairly Good,Condition Assessment N/A - Good,Poor - Fairly Poor,Poor - Moderate,Poor - Fairly Good,Poor - Good,Fairly Poor - Moderate,Fairly Poor - Fairly Good,Fairly Poor - Good,Moderate - Fairly Good,Moderate - Good,Fairly Good - Good,Good - Good,Species-rich native hedgerow with trees - associated with bank or ditch,Species-rich native hedgerow with trees,Species-rich native hedgerow - associated with bank or ditch,Native hedgerow with trees - associated with bank or ditch,Species-rich native hedgerow,Native hedgerow - associated with bank or ditch,Native hedgerow with trees,Ecologically valuable line of trees,Ecologically valuable line of trees - associated with bank or ditch,Native hedgerow,Line of trees,Line of trees - associated with bank or ditch,Non-native and ornamental hedgerow
Grassland,Traditional orchards,Not Possible,Not Possible,5,10,20,25,30,Not Possible,Not Possible,Not Possible,Not Possible,5,15,20,25,10,15,20,5,10,5,Not Possible,,,,,,,,,,,,,
Grassland,Bracken,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,,,,,,,,,,,,,
Grassland,Floodplain wetland mosaic and CFGM,Not Possible,Not Possible,5,8,10,12,15,Not Possible,Not Possible,Not Possible,Not Possible,8,10,12,15,2,4,7,2,4,3,Not Possible,,,,,,,,,,,,,
Grassland,Lowland calcareous grassland,Not Possible,Not Possible,10,15,20,25,30,Not Possible,Not Possible,Not Possible,Not Possible,5,10,15,20,5,10,15,5,10,5,Not Possible,,,,,,,,,,,,,
Grassland,Lowland dry acid grassland,Not Possible,Not Possible,10,15,20,25,30+,Not Possible,Not Possible,Not Possible,Not Possible,5,15,20,30+,8,15,25,10,20,10,Not Possible,,,,,,,,,,,,,
Grassland,Lowland meadows,Not Possible,Not Possible,5,8,10,12,15,Not Possible,Not Possible,Not Possible,Not Possible,4,8,11,15,4,8,11,4,8,4,Not Possible,,,,,,,,,,,,,
Grassland,Modified grassland,Not Possible,Not Possible,1,5,10,12,15,Not Possible,Not Possible,Not Possible,Not Possible,5,10,12,15,8,10,12,8,10,8,Not Possible,,,,,,,,,,,,,
Grassland,Other lowland acid grassland,Not Possible,Not Possible,1,5,10,12,15,Not Possible,Not Possible,Not Possible,Not Possible,5,10,12,15,8,10,12,8,10,8,Not Possible,,,,,,,,,,,,,
Grassland,Other neutral grassland,Not Possible,Not Possible,1,5,10,12,15,Not Possible,Not Possible,Not Possible,Not Possible,5,10,12,15,8,10,12,8,10,8,Not Possible,,,,,,,,,,,,,
Grassland,Tall herb communities (H6430),Not Possible,Not Possible,10,15,20,25,30,Not Possible,Not Possible,Not Possible,Not Possible,10,20,25,30,10,10,15,5,10,5,Not Possible,,,,,,,,,,,,,
Grassland,Upland acid grassland,Not Possible,Not Possible,1,5,10,12,15,Not Possible,Not Possible,Not Possible,Not Possible,5,10,12,15,8,10,12,8,10,8,Not Possible,,,,,,,,,,,,,
Grassland,Upland calcareous grassland,Not Possible,Not Possible,10,12,15,20,25,Not Possible,Not Possible,Not Possible,Not Possible,10,15,18,20,10,15,18,10,10,10,Not Possible,,,,,,,,,,,,,
Grassland,Upland hay meadows,Not Possible,Not Possible,10,12,15,18,20,Not Possible,Not Possible,Not Possible,Not Possible,10,15,18,20,10,15,18,10,15,10,Not Possible,,,,,,,,,,,,,
Heathland and shrub,Blackthorn scrub,Not Possible,Not Possible,1,3,5,7,10,1,5,7,10,1,5,7,10,3,5,3,2,3,2,Not Possible,,,,,,,,,,,,,
Heathland and shrub,Bramble scrub,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,,,,,,,,,,,,,
Heathland and shrub,Gorse scrub,Not Possible,Not Possible,1,3,5,7,10,1,5,7,10,1,5,7,10,3,5,7,2,3,2,Not Possible,,,,,,,,,,,,,
Heathland and shrub,Hawthorn scrub,Not Possible,Not Possible,1,3,5,7,10,1,5,7,10,1,5,7,10,3,5,7,2,3,2,Not Possible,,,,,,,,,,,,,
Heathland and shrub,Hazel scrub,Not Possible,Not Possible,5,7,10,12,15,5,7,12,15,5,7,12,15,5,8,12,5,7,5,Not Possible,,,,,,,,,,,,,
Heathland and shrub,Willow scrub,Not Possible,Not Possible,5,7,10,12,15,5,7,12,15,5,7,12,15,5,8,12,5,7,5,Not Possible,,,,,,,,,,,,,
Heathland and shrub,Lowland heathland,Not Possible,Not Possible,10,15,20,25,30+,5,10,15,25,5,10,15,25,5,10,20,5,15,10,Not Possible,,,,,,,,,,,,,
Heathland and shrub,Mixed scrub,Not Possible,Not Possible,1,3,5,7,10,1,5,7,10,1,5,7,10,3,5,7,2,3,2,Not Possible,,,,,,,,,,,,,
Heathland and shrub,Mountain heaths and willow scrub,Not Possible,Not Possible,15,23,25,30+,30+,20,30+,30+,30+,20,30+,30+,30+,20,30+,30+,20,30+,20,Not Possible,,,,,,,,,,,,,
Heathland and shrub,Rhododendron scrub,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,,,,,,,,,,,,,
Heathland and shrub,Dunes with sea buckthorn (H2160),Not Possible,Not Possible,5,7,10,12,15,5,7,10,12,5,7,10,12,5,7,10,5,7,5,Not Possible,,,,,,,,,,,,,
Heathland and shrub,Other sea buckthorn scrub,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,,,,,,,,,,,,,
Heathland and shrub,Upland heathland,Not Possible,Not Possible,10,15,20,25,30,Not Possible,Not Possible,Not Possible,Not Possible,10,20,30,30+,10,20,30,10,20,10,Not Possible,,,,,,,,,,,,,
Lakes,Aquifer fed naturally fluctuating water bodies,Not Possible,Not Possible,1,10,15,20,30,Not Possible,Not Possible,Not Possible,Not Possible,5,10,15,30,5,15,25,5,20,5,Not Possible,,,,,,,,,,,,,
Lakes,High alkalinity lakes,Not Possible,Not Possible,2,3,5,7,10,Not Possible,Not Possible,Not Possible,Not Possible,5,10,15,30,5,15,25,10,20,10,Not Possible,,,,,,,,,,,,,
Lakes,Low alkalinity lakes,Not Possible,Not Possible,5,10,15,20,30,Not Possible,Not Possible,Not Possible,Not Possible,5,10,15,20,5,10,15,5,10,5,Not Possible,,,,,,,,,,,,,
Lakes,Marl lakes,Not Possible,Not Possible,5,7,10,15,20,Not Possible,Not Possible,Not Possible,Not Possible,5,10,15,30,5,15,25,10,20,10,Not Possible,,,,,,,,,,,,,
Lakes,Moderate alkalinity lakes,Not Possible,Not Possible,5,7,10,15,20,Not Possible,Not Possible,Not Possible,Not Possible,5,10,15,30,5,15,25,10,20,10,Not Possible,,,,,,,,,,,,,
Lakes,Peat lakes,Not Possible,Not Possible,5,10,15,20,30,Not Possible,Not Possible,Not Possible,Not Possible,5,10,15,30,5,15,25,10,20,10,Not Possible,,,,,,,,,,,,,
Lakes,Ponds (priority habitat),Not Possible,Not Possible,2,3,5,7,10,Not Possible,Not Possible,Not Possible,Not Possible,2,4,6,8,2,4,6,2,4,2,Not Possible,,,,,,,,,,,,,
Lakes,Ponds (non-priority habitat),Not Possible,Not Possible,1,2,3,4,5,Not Possible,Not Possible,Not Possible,Not Possible,2,4,6,8,2,4,6,2,4,2,Not Possible,,,,,,,,,,,,,
Lakes,Reservoirs,Not Possible,Not Possible,1,3,5,7,10,Not Possible,Not Possible,Not Possible,Not Possible,5,10,15,30,5,15,25,10,20,10,Not Possible,,,,,,,,,,,,,
Lakes,Temporary lakes ponds and pools (H3170),Not Possible,Not Possible,2,3,5,7,10,Not Possible,Not Possible,Not Possible,Not Possible,2,4,6,8,2,4,6,2,4,2,Not Possible,,,,,,,,,,,,,
Sparsely vegetated land,Calaminarian grasslands,Not Possible,Not Possible,2,3,5,7,10,Not Possible,Not Possible,Not Possible,Not Possible,1,3,5,8,1,4,7,2,5,3,Not Possible,,,,,,,,,,,,,
Sparsely vegetated land,Coastal sand dunes,Not Possible,Not Possible,5,7,10,15,20,Not Possible,Not Possible,Not Possible,Not Possible,5,8,15,20,5,10,18,7,12,8,Not Possible,,,,,,,,,,,,,
Sparsely vegetated land,Coastal vegetated shingle,Not Possible,Not Possible,5,7,10,15,20,Not Possible,Not Possible,Not Possible,Not Possible,5,8,15,20,5,10,18,7,12,8,Not Possible,,,,,,,,,,,,,
Sparsely vegetated land,Ruderal/Ephemeral,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,2,3,5,1,2,3,1,2,1,Not Possible,,,,,,,,,,,,,
Sparsely vegetated land,Tall forbs,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,2,3,5,1,2,3,1,2,1,Not Possible,,,,,,,,,,,,,
Sparsely vegetated land,Inland rock outcrop and scree habitats,Not Possible,Not Possible,10,15,20,25,30+,Not Possible,Not Possible,Not Possible,Not Possible,10,20,25,30+,15,25,27,15,20,15,Not Possible,,,,,,,,,,,,,
Sparsely vegetated land,Limestone pavement,Not Possible,Not Possible,30+,30+,30+,30+,30+,Not Possible,Not Possible,Not Possible,Not Possible,5,10,15,20,5,10,15,5,10,5,Not Possible,,,,,,,,,,,,,
Sparsely vegetated land,Maritime cliff and slopes,Not Possible,Not Possible,10,15,20,25,30+,Not Possible,Not Possible,Not Possible,Not Possible,5,8,15,20,5,10,18,7,12,8,Not Possible,,,,,,,,,,,,,
Sparsely vegetated land,Other inland rock and scree,Not Possible,Not Possible,3,5,10,15,20,Not Possible,Not Possible,Not Possible,Not Possible,5,10,15,20,5,10,15,5,10,5,Not Possible,,,,,,,,,,,,,
Urban,Allotments,Not Possible,Not Possible,1,1,1,1,1,Not Possible,Not Possible,Not Possible,Not Possible,1,1,1,1,1,1,1,1,1,1,Not Possible,,,,,,,,,,,,,
Urban,Ornamental lake or pond,Not Possible,Not Possible,1,2,3,4,5,Not Possible,Not Possible,Not Possible,Not Possible,2,4,6,8,2,4,6,2,4,2,Not Possible,,,,,,,,,,,,,
Urban,"Artificial unvegetated, unsealed surface",Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,,,,,,,,,,,,,
Urban,Bioswale,Not Possible,Not Possible,1,1,1,2,3,Not Possible,Not Possible,Not Possible,Not Possible,1,2,2,3,1,2,3,2,2,2,Not Possible,,,,,,,,,,,,,
Urban,Intensive green roof,Not Possible,Not Possible,1,2,3,4,5,Not Possible,Not Possible,Not Possible,Not Possible,1,2,3,5,1,2,3,1,2,1,Not Possible,,,,,,,,,,,,,
Urban,Built linear features,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,,,,,,,,,,,,,
Urban,Cemeteries and churchyards,Not Possible,Not Possible,10,12,15,17,20,Not Possible,Not Possible,Not Possible,Not Possible,5,10,15,20,10,15,20,10,15,5,Not Possible,,,,,,,,,,,,,
Urban,Developed land; sealed surface,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,,,,,,,,,,,,,
Urban,Other green roof,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,,,,,,,,,,,,,
Urban,Facade-bound green wall,Not Possible,Not Possible,1,2,3,4,5,Not Possible,Not Possible,Not Possible,Not Possible,1,2,3,5,1,2,3,1,2,1,Not Possible,,,,,,,,,,,,,
Urban,Ground based green wall,Not Possible,Not Possible,1,2,3,4,5,Not Possible,Not Possible,Not Possible,Not Possible,1,2,3,5,1,2,3,1,2,1,Not Possible,,,,,,,,,,,,,
Urban,Ground level planters,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,,,,,,,,,,,,,
Urban,Biodiverse green roof,Not Possible,Not Possible,1,3,5,8,10,Not Possible,Not Possible,Not Possible,Not Possible,3,5,8,10,3,8,8,3,5,2,Not Possible,,,,,,,,,,,,,
Urban,Introduced shrub,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,,,,,,,,,,,,,
Urban,Open mosaic habitats on previously developed land,Not Possible,Not Possible,0,2,4,7,10,Not Possible,Not Possible,Not Possible,Not Possible,2,4,7,10,2,5,8,3,4,3,Not Possible,,,,,,,,,,,,,
Urban,Rain garden,Not Possible,Not Possible,1,1,1,1,1,Not Possible,Not Possible,Not Possible,Not Possible,1,1,1,1,1,1,1,1,1,1,Not Possible,,,,,,,,,,,,,
Urban,Actively worked sand pit quarry or open cast mine,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,,,,,,,,,,,,,
Urban,Urban tree,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,8,16,24,30+,8,16,24,8,16,8,Not Possible,,,,,,,,,,,,,
Urban,Sustainable drainage system,Not Possible,Not Possible,1,2,3,4,5,Not Possible,Not Possible,Not Possible,Not Possible,1,2,3,5,1,2,3,1,2,1,Not Possible,,,,,,,,,,,,,
Urban,Unvegetated garden,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,,,,,,,,,,,,,
Urban,Vacant or derelict land,Not Possible,Not Possible,1,1,1,1,1,Not Possible,Not Possible,Not Possible,Not Possible,1,1,1,1,1,1,1,1,1,1,Not Possible,,,,,,,,,,,,,
Urban,Bare ground,Not Possible,Not Possible,1,1,1,1,1,Not Possible,Not Possible,Not Possible,Not Possible,1,1,1,1,1,1,1,1,1,1,Not Possible,,,,,,,,,,,,,
Urban,Vegetated garden,Not Possible,Not Possible,1,2,3,4,5,Not Possible,Not Possible,Not Possible,Not Possible,1,2,3,5,1,2,3,1,2,1,Not Possible,,,,,,,,,,,,,
Wetland,Blanket bog,Not Possible,Not Possible,15,25,30,30+,30+,Not Possible,Not Possible,Not Possible,Not Possible,10,20,30+,30+,10,30+,30+,30,30+,30,Not Possible,,,,,,,,,,,,,
Wetland,Depressions on peat substrates (H7150),Not Possible,Not Possible,15,25,30,30+,30+,Not Possible,Not Possible,Not Possible,Not Possible,10,20,25,30,10,20,25,10,20,10,Not Possible,,,,,,,,,,,,,
Wetland,Fens (upland and lowland),Not Possible,Not Possible,10,12,15,25,30,Not Possible,Not Possible,Not Possible,Not Possible,10,12,15,18,10,12,15,10,12,10,Not Possible,,,,,,,,,,,,,
Wetland,Lowland raised bog,Not Possible,Not Possible,15,20,30,30+,30+,Not Possible,Not Possible,Not Possible,Not Possible,10,20,25,30,10,20,20,10,15,10,Not Possible,,,,,,,,,,,,,
Wetland,Oceanic valley mire[1] (D2.1),Not Possible,Not Possible,15,20,30,30+,30+,Not Possible,Not Possible,Not Possible,Not Possible,10,20,25,30,10,20,20,10,15,10,Not Possible,,,,,,,,,,,,,
Wetland,Purple moor grass and rush pastures,Not Possible,Not Possible,10,12,15,17,20,Not Possible,Not Possible,Not Possible,Not Possible,10,10,15,20,10,15,20,10,15,10,Not Possible,,,,,,,,,,,,,
Wetland,Reedbeds,Not Possible,Not Possible,5,7,10,12,15,Not Possible,Not Possible,Not Possible,Not Possible,5,7,10,12,5,7,10,5,7,5,Not Possible,,,,,,,,,,,,,
Wetland,Transition mires and quaking bogs (H7140),Not Possible,Not Possible,15,25,30,30+,30+,Not Possible,Not Possible,Not Possible,Not Possible,10,20,25,30,10,20,20,10,15,10,Not Possible,,,,,,,,,,,,,
Woodland and forest,Felled,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,,,,,,,,,,,,,
Woodland and forest,Lowland beech and yew woodland,Not Possible,Not Possible,10,25,30+,30+,30+,Not Possible,Not Possible,Not Possible,Not Possible,25,30+,30+,30+,30+,30+,30+,30+,30+,30+,Not Possible,,,,,,,,,,,,,
Woodland and forest,Lowland mixed deciduous woodland,Not Possible,Not Possible,10,25,30+,30+,30+,Not Possible,Not Possible,Not Possible,Not Possible,10,20,25,30+,10,20,25,10,20,10,Not Possible,,,,,,,,,,,,,
Woodland and forest,Native pine woodlands,Not Possible,Not Possible,25,30,30+,30+,30+,Not Possible,Not Possible,Not Possible,Not Possible,10,15,20,30+,15,20,25,10,15,10,Not Possible,,,,,,,,,,,,,
Woodland and forest,Other coniferous woodland,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,5,25,30+,30+,20,30+,30+,30+,30+,30+,Not Possible,,,,,,,,,,,,,
Woodland and forest,Other Scot's pine woodland,Not Possible,Not Possible,20,25,30+,30+,30+,Not Possible,Not Possible,Not Possible,Not Possible,10,15,20,30+,15,20,25,10,15,10,Not Possible,,,,,,,,,,,,,
Woodland and forest,Other woodland; broadleaved,Not Possible,Not Possible,5,10,15,20,25,Not Possible,Not Possible,Not Possible,Not Possible,5,10,15,20,5,10,15,5,10,5,Not Possible,,,,,,,,,,,,,
Woodland and forest,Other woodland; mixed,Not Possible,Not Possible,5,10,15,20,25,Not Possible,Not Possible,Not Possible,Not Possible,5,10,15,20,5,10,15,5,10,5,Not Possible,,,,,,,,,,,,,
Woodland and forest,Upland birchwoods,Not Possible,Not Possible,10,20,25,30,30+,Not Possible,Not Possible,Not Possible,Not Possible,10,15,20,30+,15,20,25,10,15,10,Not Possible,,,,,,,,,,,,,
Woodland and forest,Upland mixed ashwoods,Not Possible,Not Possible,10,25,30+,30+,30+,Not Possible,Not Possible,Not Possible,Not Possible,10,15,20,30+,15,20,25,10,15,10,Not Possible,,,,,,,,,,,,,
Woodland and forest,Upland oakwood,Not Possible,Not Possible,10,25,30+,30+,30+,Not Possible,Not Possible,Not Possible,Not Possible,25,30+,30+,30+,30+,30+,30+,30+,30+,30+,Not Possible,,,,,,,,,,,,,
Woodland and forest,Wet woodland,Not Possible,Not Possible,10,20,25,30,30+,Not Possible,Not Possible,Not Possible,Not Possible,5,10,25,30+,5,20,30+,15,30+,30,Not Possible,,,,,,,,,,,,,
Woodland and forest,Wood-pasture and parkland,Not Possible,Not Possible,10,25,30+,30+,30+,Not Possible,Not Possible,Not Possible,Not Possible,25,30+,30+,30+,30+,30+,30+,30+,30+,30+,Not Possible,,,,,,,,,,,,,
oastal lagoons,Coastal lagoons,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,4,8,12,3,7,11,4,8,4,Not Possible,,,,,,,,,,,,,
Rocky shore,High energy littoral rock,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,2,4,6,10,2,4,8,2,6,4,Not Possible,,,,,,,,,,,,,
Rocky shore,"High energy littoral rock - on peat, clay or chalk",Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,2,4,6,10,2,4,8,2,6,4,Not Possible,,,,,,,,,,,,,
Rocky shore,Moderate energy littoral rock,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,2,4,6,11,2,4,9,2,7,5,Not Possible,,,,,,,,,,,,,
Rocky shore,"Moderate energy littoral rock - on peat, clay or chalk",Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,2,4,6,11,2,4,9,2,7,5,Not Possible,,,,,,,,,,,,,
Rocky shore,Low energy littoral rock,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,2,4,6,12,2,4,10,2,8,6,Not Possible,,,,,,,,,,,,,
Rocky shore,"Low energy littoral rock - on peat, clay or chalk",Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,2,4,6,12,2,4,10,2,8,6,Not Possible,,,,,,,,,,,,,
Rocky shore,Features of littoral rock,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,2,4,6,11,2,4,9,2,7,5,Not Possible,,,,,,,,,,,,,
Rocky shore,"Features of littoral rock - on peat, clay or chalk",Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,2,4,6,11,2,4,9,2,7,5,Not Possible,,,,,,,,,,,,,
Coastal seamarsh,Littoral coarse sediment,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,1,2,3,4,1,2,3,1,2,1,Not Possible,,,,,,,,,,,,,
Coastal seamarsh,Littoral mud,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,2,4,6,8,2,4,6,2,4,2,Not Possible,,,,,,,,,,,,,
